"Rank","WSIT","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","","Todd Gurley","LAR","RB1","12","1","1","1.0","0.0","1.0","0.0"
"2","","Saquon Barkley","NYG","RB2","9","2","4","2.6","0.5","6.0","+4.0"
"3","","Ezekiel Elliott","DAL","RB3","8","2","8","4.7","1.3","4.0","+1.0"
"4","","Melvin Gordon","LAC","RB4","8","2","8","4.9","2.2","11.0","+7.0"
"5","","Kareem Hunt","KC","RB5","12","2","12","5.6","2.6","9.0","+4.0"
"6","","Antonio Brown","PIT","WR1","7","5","8","5.6","0.7","5.0","-1.0"
"7","","Alvin Kamara","NO","RB6","6","4","24","6.9","1.9","7.0","0.0"
"8","","Adam Thielen","MIN","WR2","10","2","17","8.1","3.4","32.0","+24.0"
"9","","DeAndre Hopkins","HOU","WR3","10","6","16","10.6","2.9","10.0","+1.0"
"10","","Joe Mixon","CIN","RB7","9","7","16","11.6","2.0","23.0","+13.0"
"11","","Davante Adams","GB","WR4","7","6","21","13.0","2.5","18.0","+7.0"
"12","","Julio Jones","ATL","WR5","8","9","17","13.3","3.1","14.0","+2.0"
"13","","Michael Thomas","NO","WR6","6","5","21","13.7","3.0","16.0","+3.0"
"14","","David Johnson","ARI","RB8","9","8","27","14.6","4.1","3.0","-11.0"
"15","","Christian McCaffrey","CAR","RB9","4","12","25","14.7","2.3","15.0","0.0"
"16","","Odell Beckham Jr.","NYG","WR7","9","9","21","15.0","2.3","12.0","-4.0"
"17","","Tyreek Hill","KC","WR8","12","11","27","16.1","3.0","27.0","+10.0"
"18","","James Conner","PIT","RB10","7","7","59","17.7","11.2","153.0","+135.0"
"19","","A.J. Green","CIN","WR9","9","14","24","18.3","2.4","22.0","+3.0"
"20","","James White","NE","RB11","11","12","37","22.0","4.9","117.0","+97.0"
"21","","Mark Ingram","NO","RB12","6","13","32","22.6","5.6","51.0","+30.0"
