"Rank","WSIT","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","","Todd Gurley","LAR","RB1","12","1","2","1.0","0.0","1.0","0.0"
"2","","Saquon Barkley","NYG","RB2","9","2","4","2.7","0.7","7.0","+5.0"
"3","","Melvin Gordon","LAC","RB3","8","2","12","5.3","2.1","12.0","+9.0"
"4","","Ezekiel Elliott","DAL","RB4","8","2","9","5.5","1.3","4.0","0.0"
"5","","Kareem Hunt","KC","RB5","12","2","13","5.8","2.6","10.0","+5.0"
"6","","Adam Thielen","MIN","WR1","10","3","17","5.8","1.1","31.0","+25.0"
"7","","Antonio Brown","PIT","WR2","7","5","7","6.0","0.6","5.0","-2.0"
"8","","Alvin Kamara","NO","RB6","6","3","14","6.3","2.3","6.0","-2.0"
"9","","DeAndre Hopkins","HOU","WR3","10","8","14","10.3","1.8","8.0","-1.0"
"10","","Davante Adams","GB","WR4","7","8","18","12.2","1.8","18.0","+8.0"
"11","","Michael Thomas","NO","WR5","6","5","24","12.7","4.3","16.0","+5.0"
"12","","Joe Mixon","CIN","RB7","9","7","16","12.8","1.2","24.0","+12.0"
"13","","Julio Jones","ATL","WR6","8","8","17","14.0","2.1","13.0","0.0"
"14","","Odell Beckham Jr.","NYG","WR7","9","8","20","14.7","2.9","11.0","-3.0"
"15","","Christian McCaffrey","CAR","RB8","4","12","20","15.2","1.1","15.0","0.0"
"16","","James White","NE","RB9","11","9","24","16.0","3.9","111.0","+95.0"
"17","","David Johnson","ARI","RB10","9","9","31","17.8","3.5","3.0","-14.0"
"18","","Tyreek Hill","KC","WR8","12","10","27","18.3","3.9","27.0","+9.0"
"19","","A.J. Green","CIN","WR9","9","14","24","19.5","2.6","20.0","+1.0"
"20","","Mark Ingram","NO","RB11","6","15","35","21.3","3.2","51.0","+31.0"
"21","","Travis Kelce","KC","TE1","12","13","28","21.8","0.4","25.0","+4.0"
"22","","Sony Michel","NE","RB12","11","1","38","22.5","4.3","79.0","+57.0"
"23","","Mike Evans","TB","WR10","5","18","36","23.5","1.8","22.0","-1.0"
"24","","James Conner","PIT","RB13","7","8","58","23.8","12.9","153.0","+129.0"
"25","","Zach Ertz","PHI","TE2","9","17","28","25.7","3.3","35.0","+10.0"
"26","","Keenan Allen","LAC","WR11","8","20","37","27.7","4.5","17.0","-9.0"
"27","","JuJu Smith-Schuster","PIT","WR12","7","19","39","27.8","2.1","43.0","+16.0"
"28","","Robert Woods","LAR","WR13","12","25","41","29.3","2.1","78.0","+50.0"
"29","","Stefon Diggs","MIN","WR14","10","27","33","30.2","1.1","30.0","+1.0"
"30","","Brandin Cooks","LAR","WR15","12","26","39","31.3","1.7","44.0","+14.0"
"31","","Kerryon Johnson","DET","RB14","6","23","45","33.7","7.2","73.0","+42.0"
"32","","Emmanuel Sanders","DEN","WR16","10","26","42","35.2","4.1","65.0","+33.0"
"33","","Tarik Cohen","CHI","RB15","5","21","45","36.5","3.9","85.0","+52.0"
"34","","T.Y. Hilton","IND","WR17","9","30","48","38.0","5.5","29.0","-5.0"
"35","","Patrick Mahomes","KC","QB1","12","27","52","38.5","2.9","113.0","+78.0"
"36","","Jarvis Landry","CLE","WR18","11","33","51","38.5","5.8","38.0","+2.0"
"37","","Adrian Peterson","WAS","RB16","4","23","49","39.7","6.3","117.0","+80.0"
"38","","Phillip Lindsay","DEN","RB17","10","25","54","42.3","6.6","358.0","+320.0"
"39","","Tevin Coleman","ATL","RB18","8","25","58","42.5","6.8","68.0","+29.0"
"40","","Leonard Fournette","JAC","RB19","9","23","75","43.8","9.3","9.0","-31.0"
